H   1 1 1 0     1.487	0.0006808   0xFFFFFF
C   6 4 4 2     1.908	0.0037292   0x909090
N   7 5 3 2     1.780	0.0073719   0x3050F8
O   8 6 2 2     1.661	0.0091063   0xFF0D0D
Na  11 1 1 0    1.600   0.0020000   0xAB5CF2
Cl  17 7 1 0    1.948   0.0200000   0x1FF01F
Xe  54 8 0 0    2.1815	0.0243442   0x429EB0
E   100 0 0 0   0.5     0.0         0x00FFFF
