21
-1000.0	294.65	9.810	1.13900e+05	1.347000e+00	1.821000e-05
0.0000	288.15	9.807	1.01300e+05	1.225000e+00	1.789000e-05
1000.0	281.65	9.804	8.98800e+04	1.112000e+00	1.758000e-05
2000.0	275.15	9.801	7.95000e+04	1.007000e+00	1.726000e-05
3000.0	268.66	9.797	7.01200e+04	9.093000e-01	1.694000e-05
4000.0	262.17	9.794	6.16600e+04	8.194000e-01	1.661000e-05
5000.0	255.68	9.791	5.40500e+04	7.364000e-01	1.628000e-05
6000.0	249.19	9.788	4.72200e+04	6.601000e-01	1.595000e-05
7000.0	242.70	9.785	4.11100e+04	5.900000e-01	1.561000e-05
8000.0	236.21	9.782	3.56500e+04	5.258000e-01	1.527000e-05
9000.0	229.73	9.779	3.08000e+04	4.671000e-01	1.493000e-05
10000.0	223.25	9.776	2.65000e+04	4.135000e-01	1.458000e-05
15000.0	216.65	9.761	1.21100e+04	1.948000e-01	1.422000e-05
20000.0	216.65	9.745	5.52900e+03	8.891000e-02	1.422000e-05
25000.0	221.55	9.730	2.54900e+03	4.008000e-02	1.448000e-05
30000.0	226.51	9.715	1.19700e+03	1.841000e-02	1.475000e-05
40000.0	250.35	9.684	2.87000e+02	3.996000e-03	1.601000e-05
50000.0	270.65	9.654	7.97800e+01	1.027000e-03	1.704000e-05
60000.0	247.02	9.624	2.19600e+01	3.097000e-04	1.584000e-05
70000.0	219.58	9.594	5.20000e+00	8.283000e-05	1.438000e-05
80000.0	198.64	9.564	1.10000e+00	1.846000e-05	1.321000e-05
