    23 Thalia             L.H. Wasserman   6.95  0.15 0.85 107.5 S       0   0   0   0   0   0 55973 2140 20191113  22.163644  60.626631  66.845035 10.114079 0.23485686   2.62525892 20190507 1.6E-02  1.2E-05 20191005 3.1E-02 20200417 4.8E-02 20280113 4.8E-02 20280113
    25 Phocaea            L.H. Wasserman   7.83  0.15 0.94  75.1 S       0   0   0   0   0   0 58150 3144 20191113 225.867981  90.286574 214.123657 21.605404 0.25477885   2.39981025 20191003 1.4E-02  2.7E-05 20191005 2.9E-02 20200324 4.5E-02 20280613 4.5E-02 20280613
    26 Proserpina         L.H. Wasserman   7.4   0.15 0.88  95.1 S       0   0   0   0   0   0 57941 2218 20191113 151.224774 193.526627  45.779938  3.563148 0.08999001   2.65481268 20190927 2.4E-02  9.1E-05 20191005 2.5E-02 20191028 3.9E-02 20220528 3.9E-02 20220528
    28 Bellona            L.H. Wasserman   7.09  0.15 0.85 120.9 S       0   0   0   0   0  10 57202 2673 20191113 316.125859 344.040519 144.290305  9.429421 0.15183439   2.77620034 20190927 2.2E-02  1.5E-04 20191005 3.2E-02 20191214 3.5E-02 20250201 3.5E-02 20250201
    29 Amphitrite         L.H. Wasserman   5.85  0.20 0.83 212.2 S       0   0   0   0   0  10 59958 2136 20191113 332.581976  63.312002 356.340941  6.082138 0.07282486   2.55445845 20190927 3.2E-02  7.2E-05 20191005 3.2E-02 20191015 3.5E-02 20290204 3.5E-02 20290204
    30 Urania             L.H. Wasserman   7.57  0.15 0.87  99.7 S       0   0   0   0   0   0 58088 3193 20191113  83.311966  87.384663 307.466690  2.095929 0.12764009   2.36544763 20190325 1.1E-02  4.1E-05 20191005 2.4E-02 20200301 3.0E-02 20250807 3.1E-02 20291007
    31 Euphrosyne         L.H. Wasserman   6.74  0.15 0.67 255.9         0   0   0   0   0   0 58005 2329 20191113 122.267757  61.550377  31.115011 26.294866 0.22052743   3.15652147 20190923 1.4E-02  2.3E-06 20191005 2.7E-02 20200515 3.5E-02 20231215 3.5E-02 20231215
    32 Pomona             L.H. Wasserman   7.56  0.15 0.86  80.8 S       0   0   0   0   0   9 56866 2101 20191113  79.356323 339.402388 220.417409  5.521712 0.08132716   2.58864081 20190927 2.1E-02 -8.9E-05 20191005 3.1E-02 20200921 4.3E-02 20270416 4.3E-02 20270416
    34 Circe              L.H. Wasserman   8.51  0.15 0.70 113.5 C       0   0   0   0   0   0 56759 3080 20191113 171.599282 330.545828 184.346004  5.496950 0.10630437   2.68629317 20190927 1.6E-02 -8.7E-05 20191005 2.1E-02 20201018 2.8E-02 20220210 2.8E-02 20220210
    35 Leukothea          L.H. Wasserman   8.5   0.15 0.70 103.1 C       0   0   0   0   0   0 58267 3131 20191113 253.278521 213.410440 353.727737  7.932174 0.22542508   2.99429537 20190927 1.6E-02  9.1E-05 20191005 2.3E-02 20191221 3.2E-02 20260312 3.2E-02 20260312
    36 Atalante           L.H. Wasserman   8.46  0.15 0.73 105.6         0   0   0   0   0   0 56107 1717 20191113 343.026104  47.811496 358.208762 18.369535 0.30499466   2.74688717 20190927 3.4E-02 -1.6E-04 20191005 2.3E-02 20210302 4.1E-02 20241218 4.1E-02 20241218
    37 Fides              L.H. Wasserman   7.29  0.24 0.84 108.3 S       0   0   0   0   0   0 59888 2519 20191113  27.457144  62.818002   7.262778  3.070695 0.17565949   2.64242588 20190927 1.7E-02  5.5E-05 20191005 3.1E-02 20200205 3.9E-02 20231224 3.9E-02 20231224
    38 Leda               L.H. Wasserman   8.32  0.15 0.72 115.9 C       0   0   0   0   0   0 59641 2400 20191113  48.450093 169.268506 295.721121  6.971285 0.15485012   2.73891753 20190923 1.3E-02  2.3E-05 20191005 2.7E-02 20200411 3.1E-02 20240206 3.1E-02 20240205
    39 Laetitia           L.H. Wasserman   6.0   0.15 0.89 149.5 S       0   0   0   0   0   0 59724 5722 20191113 344.217925 209.259899 156.950461 10.370295 0.11138133   2.76864176 20191003 3.7E-02 -2.5E-04 20191005 3.7E-02 20201219 4.8E-02 20241005 4.8E-02 20241005
