z,symbol,name,period,group,shell,radius_cov,vdw,color_hex,molar_mass_g_mol
90,Th,Thorium,7,4,F,2.000,2.750,#00BAFF,232.04
91,Pa,Protactinium,7,5,F,2.000,2.000,#00A1FF,231.04
92,U,Uranium,7,6,F,2.000,2.650,#008FFF,238.03
93,Np,Neptunium,7,7,F,2.000,2.000,#0080FF,237
94,Pu,Plutonium,7,8,F,2.000,2.000,#006BFF,244
95,Am,Americium,7,9,F,2.000,2.000,#545CF2,243
96,Cm,Curium,7,10,F,2.000,2.000,#785CE3,247
97,Bk,Berkelium,7,11,F,2.000,2.000,#8A4FE3,247
98,Cf,Californium,7,12,F,2.000,2.000,#A136D4,251
99,Es,Einsteinium,7,13,F,2.000,2.000,#B31FD4,252
100,Fm,Fermium,7,14,F,2.000,2.000,#B31FBA,257
101,Md,Mendelevium,7,1,F,2.000,2.000,#B30DA6,258
102,No,Nobelium,7,2,F,2.000,2.000,#BD0D87,259
103,Lr,Lawrencium,7,3,D,2.000,2.000,#C70066,262
104,Rf,Rutherfordium,7,4,D,2.000,2.000,#CC0059,267
105,Db,Dubnium,7,5,D,2.000,2.000,#D1004F,270
106,Sg,Seaborgium,7,6,D,2.000,2.000,#D90045,271
107,Bh,Bohrium,7,7,D,2.000,2.000,#E00038,270
108,Hs,Hassium,7,8,D,2.000,2.000,#E6002E,277
109,Mt,Meitnerium,7,9,D,2.000,2.000,#EB0026,278
110,Ds,Darmstadtium,7,10,D,2.000,2.000,#808080,281
111,Rg,Roentgenium,7,1,D,2.000,2.000,#808080,282
112,Uub,Ununbium,7,2,D,2.000,2.000,#808080,285
